test_case,num_blocks,avg_block_length,max_block_length,total_conserved,percent_conserved
1,28,9.214285714285714,25,258,43.58108108108108
2,3,470.0,1399,1410,78.99159663865547
3,76,11.776315789473685,44,895,32.04439670605084
4,211,9.33175355450237,48,1969,40.2247191011236
5,309,9.200647249190938,41,2843,44.0297351711321
